COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/25/15,10:10:00,obsr292096,S22073095,50,,1,1,
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/26/15,10:45:00,obsr601493,S22081848,44,,2,1,G1160351
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/22/15,10:55:00,obsr95541,S22025989,198,,2,1,
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/27/15,11:30:00,obsr146271,S22095013,10,,2,0,G1161129
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/27/15,11:43:00,obsr397397,S22094110,1,,10,1,
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/27/15,8:30:00,obsr352113,S22095229,45,,2,1,
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/27/15,8:55:00,obsr339747,S22093173,15,,2,1,
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/26/15,9:30:00,obsr222766,S22081958,70,,4,1,
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/26/15,9:37:00,obsr221678,S22081932,45,0.161,1,1,
Brambling,Fringilla montifringilla,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3438602,H,47.5257183,-122.0479976,2/26/15,10:45:00,obsr504941,S22081355,44,,2,1,G1160351
